value_set_id,value_set_name,medications
100165,"ERX GENERAL BETA BLOCKERS PQRS MEASURE 7,8",716|717|718|1037|1048|1916|1917|1918|4565|4566|5007|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|7970|7971|8939|8940|9166|9167|9268|9269|9270|9417|10372|10373|10374|10375|10678|10679|10892|11156|11157|11419|11420|11421|11561|11562|11833|14505|15707|15723|15747|15748|15749|15972|15973|17035|17154|17176|17207|18287|18288|18289|18290|18291|18551|19703|21050|21051|21052|21053|22982|22991|24575|24576|29335|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|36739|36741|36742|37637|38203|38205|38206|38224|38225|38226|38227|38874|40463|40464|70283|77664|77665|77666|77667|78531|78532|78533|78534|82085|89284|89285|89286|89304|89305|89306|97266|97268|116380|116381|121604|125264|125265|125433|125761|127575|128077|128271|129705|132613|134120|134121|134122|134888|134889|134896|134897|134902|135056|135057|135451|135980|135987|135988|137320|137321|137322|137379|137392|138683|141630|142209|142210|142323|142666|143094|143095|143096|143326|143688|144547|144549|144550|144551|145375|145376|145377|145554|147384|147762|148797|148799|148800|149882|150613|150615|150617|151431|151432|151719|151720|151721|151722|151724|151725|151726|151840|151881|153694|153722|400503|163616|163617|55537637|505017|505186|400575|505194|505067|5512048|59120104|501008|192709|192710|192711|192712|192813|192814|192815|192910|505405|505416|196603|5018004|208203|208220|554278
101320,"AMB ERX GENERAL BETA-BLOCKERS NON-COMBO,NON-SOTALOL ORAL",716|717|718|1037|1916|1917|1918|4565|4566|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|8939|8940|9269|9270|10373|10374|10375|10892|11419|11420|11421|15707|15723|15747|15748|15749|18287|18288|18551|21050|21051|21052|21053|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|36739|36741|36742|37637|38203|38205|38206|38224|38225|38226|38227|77664|77665|77666|77667|78531|78532|78533|78534|89284|89285|89286|89304|89305|89306|97266|97268|125264|125265|125433|125761|127575|128077|400503|132613|134121|134888|134889|134897|135056|135451|135987|135988|137320|137321|137322|141630|142209|142210|142323|143096|143326|143688|144547|144551|145376|145554|147384|147762|148799|149882|150613|150615|150617|151432|151722|151840|151881|153694|55537637|505017|163616|163617|400575|505186|505194|505067|59120104|192813|192709|192814|192710|192815|192711|192712|192910|505405|5018004
110016,AMB ERX GENERAL BETA-BLOCKER DIURETIC COMBO ORAL,14505|9166|11833|9167|10589|10590|14877|10591|15972|15973|18289|18290|18291|113409|112486|113410|112487|113411|112488|134122|135057|138868|143686|144546|144548|151431|153722|10678|10679|11156|11157|137379|145377|148800
1137370,ERX GENERAL JCCM BETA BLOCKERS,716|717|718|1037|1916|1917|1918|151722|4565|4566|5007|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|8939|8940|9269|9270|10372|10373|10374|10375|10892|11419|11420|11421|15707|15723|15747|15748|15749|150613|151432|151840|125264|125265|18287|18288|125433|10589|18551|10590|21050|21051|21052|21053|29335|29805|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|35639|36739|36741|36742|37637|10591|10678|10679|38203|38205|38206|38224|38225|38226|38227|11156|11157|150615|97266|14877|15972|15973|18289|18290|18291|125761|127575|112486|112487|112488|113409|113410|113411|121604|128271|129705|128077|132613|151881|134121|97268|134888|134889|400503|134897|153694|135056|135057|135451|135987|135988|137320|137321|137322|137379|138868|141630|142209|142210|142323|153722|143095|143096|143326|143686|143688|144546|144547|144548|144550|144551|150617|145376|145377|77664|77665|77666|77667|78531|78532|78533|78534|145554|147384|147762|82085|89284|89285|89286|89304|89305|89306|148799|148800|149882|9166|9167|11833|14505|134122|151431|163616|163617|55537637|505017|501008|400575|505186|505194|551294|177776|5512048|5512049|59120104|190902|190903|192813|192709|192814|192710|192815|192711|192712|192910|505405|505416|196603|5018004|209105|554278
1182000010,ERX CV ICD BETA BLOCKER (ANY),716|717|718|1037|1916|1917|1918|132613|134121|134888|134889|4565|4566|5008|5009|5330|5331|5332|6296|6297|134897|135056|135451|135987|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|8939|8940|9269|9270|135988|10373|10374|10375|10892|11419|11420|11421|137320|137321|137322|141630|142209|15707|15723|15747|15748|15749|142210|142323|143096|143326|143688|144547|18287|18288|144551|145376|145554|147384|147762|148799|149882|18551|150613|21050|21051|21052|21053|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|36739|36741|36742|37637|150615|150617|151432|151722|38203|38205|38206|38224|38225|38226|38227|151840|151881|153694|97266|97268|125761|127575|128077|400503|77664|77665|77666|77667|78531|78532|78533|78534|125264|125265|125433|89284|89285|89286|89304|89305|89306|163616|163617|55537637|505017|400575|505186|505194|59120104|192813|192709|192814|192710|192815|192711|192712|192910|505405|5018004
119859,ERX SYSTEMIC BETA-BLOCKERS,505416|10372|10373|10374|10375|21051|15747|21053|15748|21052|15749|21050|18551|78531|77664|78532|77665|78533|77666|78534|77667|128271|129705|135987|135988|137320|137321|143095|143096|151881|177776|196603|400575|505186|176694|176499|178126|178910|7766|716|7767|717|7768|718|1037|1916|1917|1918|4565|4566|5007|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7967|7968|7969|8939|8940|9269|9270|10892|36742|11419|11420|36739|11421|15707|36741|15723|18287|18288|29335|29805|29867|29858|31419|30070|31421|30071|31420|30072|35497|35498|125265|35499|125264|35500|35639|505017|505405|59120104|37637|38203|38205|38206|38224|38225|38226|38227|82085|89305|89284|89304|89285|89306|89286|97268|97266|121604|125761|125433|128077|127575|132613|134121|134888|134889|134897|135056|135451|137322|141630|142209|142210|142323|143326|143688|144547|144550|144551|145376|145554|147384|147762|148799|149882|150613|150615|150617|151432|151722|151840|153694|163616|163617|190902|190903|192813|192709|192814|192710|192815|192711|192712|192910|400503|501008|505194|551294|5512048|5512049|55537637|14505|9166|11833|9167|10589|10590|14877|10591|10678|10679|11156|11157|15972|15973|18289|18290|18291|113409|112486|113410|112487|113411|112488|134122|135057|137379|138868|143686|144546|144548|145377|148800|151431|153722|5018004|209105|554278
1789055,ERX PERIOPERATIVE BETA BLOCKERS,14877|10591|17154|29867|29858|31419|30070|31421|30071|31420|30072|400503|505017|505405|55537637|59120104|37637|113409|112486|113410|112487|113411|112488|121604|163616|163617|192813|192709|192814|192710|192815|192711|192712|1037|36742|11419|11420|36739|11421|15707|36741|15723|128077|127575|1916|1917|1918|505194|5330|5331|5332|10678|10679|17207|10892|6296|6297|6654|6655|6656|6657|6658|6659|6660|11156|11157|17176|29335|35497|35498|125265|35499|125264|35500|38203|38205|38206|38224|38225|38226|38227|125761|125433|7967|7968|7969|7970|7971|11561|11562|15111|15112|15114|15115|22991|22982|24575|24576|38874|40463|40464|70283|87851|87834|114013|113740|116380|116381|192398|192399|192409|192412|192413|15972|15973|18287|18288|18289|18290|18291|89305|89284|89304|89285|89306|89286|97268|97266|176694|176499|29805|5512049|35639|501008|5512048|82085|190902|190903|5018004|208203|209105|554278|7130|8939|8940|7766|716|7767|717|7768|718|14505|9166|11833|9167|505067|17035|1048|9268|9269|9270|19703|9417|505416|10372|10373|400575|10374|10375|128271|129705|177776|196603|4565|4566|5007|5008|5009|10589|10590
2100000212,ERX GENERAL HEDIS CARDIO BETA BLOCKERS,505186|400575|505194|505067|59120104|192709|192710|192711|192712|192813|192814|192815|192910|505405|505416|196603|5018004|208203|208220|554278|716|717|718|1037|1048|1916|1917|1918|4565|4566|5007|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|7970|7971|8939|8940|9166|9167|9268|9269|9270|9417|10372|10373|10374|10375|10589|10590|10591|10678|10679|10892|11156|11157|11419|11420|11421|11561|11562|11833|14505|14877|15111|15112|15114|15115|15707|15723|15747|15748|15749|15972|15973|17035|17154|17176|17207|18287|18288|18289|18290|18291|18551|19703|21050|21051|21052|21053|24575|24576|29335|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|36739|36741|36742|37637|38203|38205|38206|38224|38225|38226|38227|38874|40463|40464|70283|77664|77665|77666|77667|78531|78532|78533|78534|116380|116381|121604|125264|125265|125433|125761|127575|128077|128271|129705|132613|134120|134121|134122|134888|134889|134896|134897|134901|134902|135056|135057|135980|135987|135988|137320|137321|137322|137379|141630|142209|142210|142323|142666|143094|143095|143096|143326|143686|143688|144547|144548|144549|144550|144551|145375|145376|145377|147384|147762|148797|148799|148800|149882|150613|150615|150617|151431|151432|151719|151720|151721|151722|151723|151724|151725|151726|151840|151881|153694|153722|400503|163616|163617|55537637|505017
2100000287,ERX GENERAL BETA BLOCKERS,716|717|718|1037|1048|1916|1917|1918|4565|4566|5007|5008|5009|5330|5331|5332|6296|6297|6654|6655|6656|6657|6658|6659|6660|7130|7766|7767|7768|7967|7968|7969|7970|7971|8939|8940|9268|9269|9270|9417|10372|10373|10374|10375|10892|11156|11157|11419|11420|11421|11561|11562|15707|15723|17035|17154|17176|17207|18287|18288|19703|24575|24576|29335|29858|29867|30070|30071|30072|31419|31420|31421|35497|35498|35499|35500|36739|36741|36742|37637|38203|38205|38206|38224|38225|38226|38227|38874|70283|82085|89284|89285|89286|89304|89305|89306|97266|97268|121604|125264|125265|125433|125761|127575|128077|128271|129705|132613|134120|134121|134888|134889|134896|134897|134902|135056|135451|135980|137322|141630|142209|142210|142323|142666|143094|143095|143096|143326|143688|144547|144549|144550|144551|145375|145376|145554|147384|147762|148797|148799|148800|149882|150613|150615|150617|151432|151719|151721|151722|151725|151726|151840|151881|153694|400503|163616|163617|55537637|505017|505194|400575|505067|5512048|59120104|501008|192709|192710|192711|192712|192813|192814|192815|192910|505405|505416|196603|15747|15748|15749|18551|21050|21051|21052|21053|135987|137321|505186|77664|77665|77666|77667|78531|78532|78533|78534|135988|137320|5018004|208203|208220|554278
5100000260,ERX GENERAL MU BETA BLOCKER THERAPY FOR LVSD 2.16.840.1.113883.3.526.3.1184,15747|15748|15749|15972|15973|18287|18288|18289|18290|18291|18551|21050|21051|21052|21053|29858|29867|30070|30071|30072|31419|31420|31421|77664|77665|77666|77667|78531|78532|78533|78534|112486|112487|112488|113409|113410|113411|505186
6100000000,ACO ERX PRESCRIBED BETA BLOCKER,4565|4566|5007|5008|5009|15747|15748|15749|15972|15973|17154|18287|18288|18289|18290|18291|18551|21050|21051|21052|21053|37637|77664|77665|77666|77667|78531|78532|78533|78534|121604|135056|135057|135987|135988|137320|137321|143688|144549|144550|144551|153694|153722|400503|163616|163617|55537637|505017|505186|59120104|505405|208203|208220
6100000002,ACO ERX BETA BLOCKER ORDERED,4565|4566|5007|5008|5009|15747|15748|15749|15972|15973|17154|18287|18288|18289|18290|18291|18551|21050|21051|21052|21053|37637|77664|77665|77666|77667|78531|78532|78533|78534|121604|135056|135057|135987|135988|137320|137321|143688|144549|144550|144551|153694|153722|400503|163616|163617|55537637|505017|505186|59120104|505405|208203|208220
